Neuron ID,Genotype,AP amplitude (mV),AP max rise (mV/ms),AP max decay (mV/ms),AHP latency (ms),ISIavg (s),AP SD peak (mV/ms2) [normalized]
2023_11_08_Cell1,Nav1.2 KO,50.365619,38.886394,-27.664429,38.75,19.558,3.37
2023_11_08_Cell2,Nav1.2 KO,62.27064021568627,94.33482214379084,-42.0369601503268,39.45179733986928,1.4126545714285714,13.791585526315789
2023_11_08_Cell3,Nav1.2 KO,64.215899,77.581927,-33.239223,24.349998,3.755858,8.448
2023_11_08_Cell4,Nav1.2 KO,58.159802,59.388112,-37.45636,39.549999,1.648,7.176
2023_11_08_Cell5,Nav1.2 KO,55.955499,63.230559,-35.482552,49.949997,2.867,6.587
2023_11_09_Cell1,Nav1.2 KO,60.584102,67.374609,-33.423249,72.900002,2.092,7.731
2023_11_09_Cell3,Nav1.2 KO,60.642701,78.400202,-39.044302,59.550003,4.084,8.664
2023_11_09_Cell4,Nav1.2 KO,56.598801,76.852024,-39.356597,59.650002,9.182,7.592
2023_11_09_Cell5,Nav1.2 KO,64.071998,81.345737,-39.105099,23.349998,2.07,10.476
2023_11_09_Cell6,Nav1.2 KO,62.881,78.727804,-38.574591,33.0,2.536,8.075
2023_11_09_Cell7,Nav1.2 KO,60.777999,84.245272,-52.22078,86.050003,1.761,12.435
2023_11_09_Cell8,Nav1.2 KO,57.954401,91.408908,-52.272193,26.75,12.999,10.954
2023_11_30_Cell1,Nav1.2 KO,69.940001,106.113978,-51.68961,15.0,0.703,13.26
2023_11_30_Cell2,Nav1.2 KO,47.229171,32.407273,-27.146399,69.050003,1.0575,2.845
2023_11_30_Cell3,Nav1.2 KO,58.0271,63.205346,-41.874245,144.399994,0.682,4.203
2023_11_30_Cell4,Nav1.2 KO,53.512201,84.109284,-40.533062,55.900002,0.736,15.552
2023_11_30_Cell5,Nav1.2 KO,69.226302,111.091055,-46.054933,25.0,0.785,14.886
2023_11_30_Cell6,Nav1.2 KO,57.1458,64.956985,-48.522338,59.550003,0.577,8.925
2023_11_30_Cell7,Nav1.2 KO,59.265658,81.215248,-47.184724,72.099998,1.028,8.81
2023_12_01_Cell1,Nav1.2 KO,68.179898,73.50409,-37.595142,50.75,1.223,9.148
